Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
CME,-0.317410112098238,0.5166666666666667,0.3636659688970247,0.2331918343914702,0.9,1.0,Financials,Financial Services,United States,"1,000 - 4,999 employees","$5,000,000,001 - $10,000,000,000",Public
000660,-0.48195008255714145,0.5166666666666667,0.8828755558745186,0.4309621569181994,0.65,0.3333333333333333,,,,,,
LRCX,-0.5639518210496124,0.5,2.3060779056399756,2.162481571931023,0.25,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"15,000 - 24,999 employees","$10,000,000,001 - $25,000,000,000",Public
LRCX,-0.5639518210496124,0.5,2.3060779056399756,2.162481571931023,0.25,0.0,Health Care,Health Care Equipment & Services,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
WM,-0.18134736666249018,0.5333333333333333,0.4217600977329045,0.2764700680465856,0.6,1.0,Industrials,Commercial & Professional Services,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
HCA,-0.3948415678029733,0.5333333333333333,0.8730001626992181,0.6575898377420465,0.3,0.3333333333333333,Health Care,Health Care Equipment & Services,United States,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public
INFY,-0.3555740623743608,0.43333333333333335,0.45282664913969817,0.3835085586063004,0.45,0.6666666666666666,Information Technology,Software & Services,India,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
CL,-0.29048843187660556,0.4166666666666667,0.19702009713057378,0.19559658873921948,0.65,0.6666666666666666,Consumer Staples,Household & Personal Products,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
RSG,-0.2049689440993788,0.55,0.49495984711581503,0.32160851250258027,0.65,1.0,Utilities,Utilities,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
TT,-0.4052680221811466,0.5166666666666667,1.2793340080505626,1.1457662195070364,0.4,0.6666666666666666,Industrials,Capital Goods,Ireland,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
ECL,-0.4370001777145901,0.43333333333333335,0.9449034694163212,0.9846500119000667,0.5,0.6666666666666666,Materials,Materials,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
BMO,-0.27470986836981015,0.48333333333333334,0.815292460857464,0.6972927771386693,0.5,0.6666666666666666,Financials,Banks,Canada,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
USB,-0.5212765957446815,0.4166666666666667,1.2594175911773593,1.2972249864453413,0.25,0.0,Financials,Banks,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
AFL,-0.19858622390267938,0.6,0.7638537144056965,0.5767455402833191,0.65,0.3333333333333333,Financials,Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
FDX,-0.5369842043003267,0.4666666666666667,1.0999739712953491,1.1422089756633147,0.35,0.3333333333333333,Industrials,Transportation,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public
CPG,-0.17881508078994696,0.5166666666666667,0.4015311071649259,0.2626129244960016,0.8,1.0,Consumer Discretionary,Consumer Services,United Kingdom,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
ADSK,-0.519940397931458,0.43333333333333335,1.5818485723175422,1.751755219539936,0.25,0.3333333333333333,Information Technology,Software & Services,United States,"10,000 - 14,999 employees","$5,000,000,001 - $10,000,000,000",Public
