Ticker,Max_Drawdown_Pct,Time_Underwater_Days,Recovery_Days,Monthly_Hit_Rate_Pct,Upside_Capture_Pct,Downside_Capture_Pct,Down_Month_HR_Pct,Worst_Month_HR_Pct,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure,CAPM_Alpha_Ann_Pct,CAPM_Beta,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Info_Ratio,Total_Return_Pct
AMGN,-24.85974888371559,296,94.0,50.0,55.42218403931217,46.624694139013215,60.0,100.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public,7.041320022769493,0.4938346048389652,12.482584035360118,22.871992137880717,0.545758496247749,0.7820004024661047,0.0638791018468271,66.62907525117896
NOW,-51.300320627003934,546,301.0,40.0,165.7374983107198,171.30829750289283,45.0,33.33333333333333,Information Technology,Software & Services,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,-4.882228172771217,1.7340477897655433,14.224192766766553,39.61778877641052,0.35903550415302365,0.4954378595522108,0.09588395938833866,39.14978653828671
6758,-39.78493878173573,655,464.0,51.66666666666667,67.51501181353659,50.725622474055974,60.0,33.33333333333333,Consumer Discretionary,Consumer Durables & Apparel,Japan,"Over 100,000 employees","Greater than $75,000,000,000",Public,13.425623000207365,0.561016198303173,19.60712024725206,32.05113572095738,0.6117449446395589,0.9391240002147901,0.27093098933327914,111.52673521310348
PFE,-58.96024464831806,1054,,38.333333333333336,40.79699383575186,46.729801449982276,45.0,100.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,-4.902705250117205,0.46268970386440894,0.1953919872252305,24.723252673214837,0.007903166699295926,0.012640894761739609,-0.43295582380352116,-13.67641875220318
GILD,-26.587398872272622,282,87.0,55.00000000000001,53.090415598492356,32.45565658954659,75.0,100.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",United States,"15,000 - 24,999 employees","$25,000,000,001 - $50,000,000,000",Public,15.920732235672997,0.44325402752101073,20.804679542630993,23.213143278273833,0.8962456869037194,1.4037770652582013,0.41368569393438787,155.282861896838
HON,-27.130738522954168,827,534.0,45.0,81.84571454150286,89.29384020893978,45.0,33.33333333333333,Industrials,Capital Goods,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,-6.24393400710509,0.8952316102295083,3.620080170807432,20.8038868146879,0.17400979937323988,0.23973823561065774,-0.43585435250567606,7.808074637640927
SAN,-26.171428571428564,238,,45.0,17.539589744273716,10.131441864631368,65.0,100.0,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",France,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,5.6940649842399615,0.14589649693952705,7.301610001501273,22.188889307718014,0.3290660429299423,0.37857587876330656,-0.14903335713665108,28.04953560371537
SU,-35.97597961907069,499,373.0,53.333333333333336,113.05822280590705,104.10881502519193,50.0,33.33333333333333,Industrials,Capital Goods,France,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,7.255380022356579,1.060760036974087,18.94325154578608,27.676362727729053,0.6844559645407005,0.9698981977638058,0.3346732724513817,118.36943385702399
DE,-33.81127362682228,347,100.0,48.333333333333336,105.99994303399272,100.18387406086514,50.0,33.33333333333333,Industrials,Capital Goods,United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,4.85749519672855,1.0017042013251727,15.894666283005229,28.35591243484412,0.5605415209095389,0.7857324712548889,0.19577147899069483,84.7060223756251
MDT,-45.105043803691444,1125,,46.666666666666664,62.364923651960325,70.05808725682977,50.0,66.66666666666666,Health Care,Health Care Equipment & Services,Ireland,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,-6.303790679885554,0.6897385042902869,1.296019590025881,21.13211290002438,0.061329389832305216,0.08195709397828549,-0.5006534228597853,-4.768513928819029
ETN,-34.46101840424963,327,74.0,56.666666666666664,144.34486593701834,132.47007165830354,45.0,66.66666666666666,Industrials,Capital Goods,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,10.021360677833236,1.3150138280976964,24.510700527194956,28.2452106893549,0.867782534772615,1.130094916843802,0.6037240416801932,188.4793044108326
6501,-38.700372911387184,257,76.0,65.0,86.8428496770001,41.07516202853561,75.0,66.66666666666666,Industrials,Capital Goods,Japan,"Over 100,000 employees","Greater than $75,000,000,000",Public,36.40274131122325,0.5750307783075085,42.73865671584933,35.720338400214374,1.1964796144146506,1.696276484057301,0.897731462226003,555.5491661874634
IBE,-28.846153846153832,582,392.0,58.333333333333336,39.235743909141476,25.943040013300017,70.0,66.66666666666666,Utilities,Utilities,Spain,"25,000 - 49,999 employees","$50,000,000,001 - $75,000,000,000",Public,10.443427293680669,0.31888146947801826,13.956988812356668,18.864011762755194,0.7398738395569242,1.0496236700555808,0.1430231892447229,87.66700924974322
INTC,-70.80045095828638,1233,,46.666666666666664,163.74340448413167,179.74370275971793,50.0,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,-11.920178013053288,1.6668410916815586,6.445733079450417,45.36455149738352,0.14208744199360562,0.19930817245248725,-0.11323124873523262,-18.072824156305668
MU,-57.63201049524434,557,115.0,56.666666666666664,220.2545898444499,201.86070101521273,45.0,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,14.338514363325515,2.111098041515485,37.59942335550635,47.594608543976804,0.7899933312985435,1.180604497661825,0.6493809895155574,289.1070211315614
CME,-31.7410112098238,671,527.0,51.66666666666667,36.36659688970247,23.31918343914702,90.0,100.0,Financials,Financial Services,United States,"1,000 - 4,999 employees","$5,000,000,001 - $10,000,000,000",Public,9.345022710445406,0.37374403084284247,13.463081520052055,19.774423818639395,0.6808330621174277,1.0028779439428859,0.1169126296644217,81.31598167452351
000660,-48.19500825571414,772,293.0,51.66666666666667,88.28755558745186,43.096215691819936,65.0,33.33333333333333,Information Technology,Semiconductors & Semiconductor Equipment,South Korea,"25,000 - 49,999 employees","$25,000,000,001 - $50,000,000,000",Public,35.17120182725312,0.6633391935324797,42.48013410243496,41.388043218995826,1.0263866275982312,1.6524395872865307,0.7737893629635593,478.221323361388
LRCX,-56.395182104961236,398,205.0,50.0,230.60779056399755,216.24815719310232,25.0,0.0,Information Technology,Semiconductors & Semiconductor Equipment,United States,"15,000 - 24,999 employees","$10,000,000,001 - $25,000,000,000",Public,11.303023447329188,2.224765694832081,35.816367374864356,44.40354501455774,0.8066105389360675,1.1874172804805199,0.677348192135098,282.78175313059046
WM,-18.13473666624902,226,,53.333333333333336,42.17600977329045,27.64700680465856,60.0,100.0,Industrials,Commercial & Professional Services,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,10.68307999776529,0.40785276449835406,15.176962257442423,17.979949248725823,0.844104844095595,1.1600514300255116,0.22009192681998213,101.56880733944953
HCA,-39.48415678029733,254,200.0,53.333333333333336,87.30001626992181,65.75898377420465,30.0,33.33333333333333,Health Care,Health Care Equipment & Services,United States,"Over 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,15.52380706384538,0.8809849990213395,25.230846473062503,28.80130940300259,0.8760312289979475,1.0837188614151076,0.5410373246424057,196.41904761904905
INFY,-35.557406237436076,655,328.0,43.333333333333336,45.28266491396982,38.35085586063004,45.0,66.66666666666666,Information Technology,Software & Services,India,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,5.810968033470574,0.38138575070361896,10.013226319714349,23.433496460360807,0.4273039807206036,0.6008325049187664,-0.04129301669368758,45.583994232156066
CL,-29.048843187660555,536,,41.66666666666667,19.70200971305738,19.559658873921947,65.0,66.66666666666666,Consumer Staples,Household & Personal Products,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,-0.3784190414816697,0.2407276764327966,2.2740132299171125,17.42940213757937,0.13046995025802602,0.17681062270142298,-0.43793597250268873,3.957643944407452
RSG,-20.49689440993788,170,,55.00000000000001,49.49598471158151,32.16085125025803,65.0,100.0,Utilities,Utilities,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,12.838571517556757,0.4700020492790786,18.01723905427189,17.591052950101282,1.0242274356958352,1.3650358238268978,0.3909872119793835,134.24232346746362
TT,-40.52680221811466,520,293.0,51.66666666666667,127.93340080505627,114.57662195070364,40.0,66.66666666666666,Industrials,Capital Goods,Ireland,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,11.055912872909508,1.1544850793656753,23.776483796597102,26.191648470162495,0.9077887489091515,1.2780759187068194,0.6038244536878132,186.34490876986382
ECL,-43.70001777145901,581,361.0,43.333333333333336,94.49034694163213,98.46500119000667,50.0,66.66666666666666,Materials,Materials,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public,-3.7217368116382237,1.0212412946603544,7.530701657348532,23.378219501578617,0.3221246877607604,0.4379886155963546,-0.18491498945452728,28.152306565779917
BMO,-27.470986836981016,706,289.0,48.333333333333336,81.5292460857464,69.72927771386694,50.0,66.66666666666666,Financials,Banks,Canada,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,9.257737599215192,0.7512402699022397,17.53519852514784,17.446853346065403,1.0050636740809404,1.2665653913580512,0.4471274827082487,128.72491909385099
USB,-52.127659574468154,1016,671.0,41.66666666666667,125.94175911773593,129.72249864453414,25.0,0.0,Financials,Banks,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,-2.372622642945732,1.2260683593092325,11.136681029000925,29.516486737721078,0.3773037464776803,0.5157786984312379,0.0048073081070180304,41.91489361702057
